Model,Sıra,Index,Skor,Metin
TF-IDF (Lemmatized),1,14,1.0000,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
TF-IDF (Lemmatized),2,15,0.5087,Davalı ... vekili cevap dilekçesi ile; 15/06/2014 tarihinde yaşanan kazanın yolda bulunan çukura su birikmesinden dolayı
TF-IDF (Lemmatized),3,1,0.5073,Davalı ... vekili cevap dilekçesi ile; 15/06/2014 tarihinde yaşanan kazanın yolda bulunan çukura su birikmesinden dolayı
TF-IDF (Lemmatized),4,1950,0.4846,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile; müvekkillerinden ...'in 29/05/2013 tarihinde bisikleti ile yol al
TF-IDF (Lemmatized),5,1014,0.4378,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile 05/01/2016 tarihinde davacıların murisi ...'in sevk ve idaresindek
TF-IDF (Stemmed),1,14,0.5401,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
TF-IDF (Stemmed),2,2375,0.2440,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesinde; davacıların murisi ...'in yolcu olarak bulunduğu... plaka sayılı m
TF-IDF (Stemmed),3,2394,0.2440,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesinde; davacıların murisi ...'in yolcu olarak bulunduğu... plaka sayılı m
TF-IDF (Stemmed),4,1474,0.2423,GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili dava dilekçesinde özetle; davalı ... şirketi nezdinde sigortalı ... sevk ve idaresindeki
TF-IDF (Stemmed),5,1950,0.2400,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dava dilekçesi ile; müvekkillerinden ...'in 29/05/2013 tarihinde bisikleti ile yol al
Lemmatized CBOW Win2 Dim100,1,1995,0.9919,"Dava dosyasına ibraz edilen 22/03/2011 tarihli ""Makbuz ve İbraname"" başlıklı belge İle, davacı ...'in kendi adına asalet"
Lemmatized CBOW Win2 Dim100,2,0,0.9913,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win2 Dim100,3,14,0.9913,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win2 Dim100,4,2065,0.9884,"tarafından trafik sigortası ile sigortalanan ... plakalı aracın 15/08/2012 tarihinde İstanbul İli, Pendik İlçesi, Taşyol"
Lemmatized CBOW Win2 Dim100,5,2068,0.9870,"Davalı .... beyanında, aracın kendisine ait olduğunu, olay anında yeğeni olan diğer davalının kullanmakta olduğunu belir"
Lemmatized CBOW Win2 Dim300,1,1995,0.9946,"Dava dosyasına ibraz edilen 22/03/2011 tarihli ""Makbuz ve İbraname"" başlıklı belge İle, davacı ...'in kendi adına asalet"
Lemmatized CBOW Win2 Dim300,2,2068,0.9934,"Davalı .... beyanında, aracın kendisine ait olduğunu, olay anında yeğeni olan diğer davalının kullanmakta olduğunu belir"
Lemmatized CBOW Win2 Dim300,3,0,0.9931,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win2 Dim300,4,14,0.9931,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win2 Dim300,5,2071,0.9912,"'ın % 100 oranında kusurlu olduğu, Adli Tıp Kurumu 3.İhtisas Kurulu'nun 30/09/2013 tarihli raporuna göre meydana gelen k"
Lemmatized CBOW Win4 Dim100,1,1995,0.9902,"Dava dosyasına ibraz edilen 22/03/2011 tarihli ""Makbuz ve İbraname"" başlıklı belge İle, davacı ...'in kendi adına asalet"
Lemmatized CBOW Win4 Dim100,2,0,0.9902,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
Lemmatized CBOW Win4 Dim100,3,14,0.9902,GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk 
