original_sentence,processed_tokens
"GEREĞİ DÜŞÜNÜLDÜ: Davacılar vekili dilekçesi ile; müvekkillerinin murisi ...'ın 15/06/2014 tarihinde davalı ...'ın sevk ve idaresindeki araç ile seyir halindeyken meydana gelen kaza neticesinde vefat ettiğini, tutulan tutanakta davalı ...ın kazanın meydana gelmesine neden olduğunun tespit edildiğini, diğer davalı sigorta şirketinin müvekkiline 70.556,56-TL tazminat ödediğini, ancak yapılan ödemenin zararın tam karşılığı olmadığını, müvekkillerinin babalarını kaybetmekten dolayı acı çektiklerini bu acıyı bir nebze azaltmak için manevi tazminata da hükmedilmesi gerekitğini belirterek, fazlaya ilişkinhakları saklı kalmak kaydıyla şimdilik davacı ... için 5.000,00-TL destekten yoksun kalma tazminatı ile tüm davacılar için ayrı ayrı 20.000,00-TL manevi tazminatın (sigorta şirketinin sadece maddi tazminattan sorumlu olmak üzere) davalılardan tahsiline karar verilmesini talep etmiş, 21/04/2016 tarihli oslah dilekçesi ile maddi tazminata ilişkin talebini 28.359,56-TL'ye yükseltmiştir.",gerek düşünmek davacı Vekil dilekçe müvekkil muris tarih davalı sevk idare araç seyir hal meydan gelen kazmak netice vefat etmek tutulmak tutanak davalı kazanmak meydan gelmek olmak tespit etmek diğer davalı sigorta şirket müvekkil tazminat ödemek ancak yapılanmak ödemek zarar tam karşılık olmak müvekkil baba kaybetmek dolayı acı çekmek acı bir nebze azaltmak manevî tazminat hükmetmek Unk belirtmek fazla Unk saklı kalmak kayıt şimdilik davacı destek yoksun kalmak tazminat davacı ayrı ayrı manevî tazminat sigorta şirket sadece maddî tazminat sorumlu olmak üzere davalı tahsil karmak vermek talep etmek tarih Unk dilekçe maddî tazminat ilişkin talep Tl yükselmek
"Davalı ... vekili cevap dilekçesi ile; 15/06/2014 tarihinde yaşanan kazanın yolda bulunan çukura su birikmesinden dolayı olduğunu, yoldaki kusur nedeni ile müvekkilinin sevk ve idaresindeki aracın kontrolden çıktığını, kaza neticesinde müvekkilinin ağır yaralandığını, ve 2 akrabasını kaybettiğini, kaza sonrasında tutulan tutanağı kabul etmediklerini belirterek davanın reddine karar verilmesini talep etmiştir.Davalı ...Sigorta A. Ş. vekili cevap dilekçesi ile; davacının maddi tazminat talebinin kabul edilemez olduğunu, kazadan sonra hasar dosyası açıldığını, davacı tarafa ödeme yapıldığını, müvekkilinin başkaca bir sorumluluğunun bulunmadığını belirterek davanın reddine karar verilmesini talep etmiştir.Mahkemece, meydana gelen kazada davalı ...'ın tam kusurlu olduğu, davalı sigorta şirketi tarafından ödeme yapıldığı, davacı tarafın maddi tazminat talebinden feragat ettiği, olayda hatır taşıması da olduğu gözetilerek davacı taraf lehine manevi tazminata hükmedilmesi gerektiği gerekçesiyle; ""1-Davanın kısmen KABUL KISMEN REDDİNE 2-Maddi tazminat talebi yönünden davacıların feragati nedeniyle davanın REDDİNE, 3-Davacıların manevi tazminat taleplerinin kısmen kabulü ile davacı... için 10.000,00 TL, diğer davacılar ... için 4000’er TL olmak üzere toplam 26.000,00 TL manevi tazminatın olay tarihi olan 15/06/2014 tarihinden itibaren işleyecek yasal faiziyle sigorta şirketi dışındaki davalı ...'tan alınarak davacılara verilmesine, fazlaya ilişkin manevi tazminat taleplerinin reddine,"" karar verilmiş, karara karşı davacılar vekili tarafından süresi içinde istinaf yoluna başvurulmuştur.Davacılar vekilinin istinaf sebepleri; hükmedilen manevi tazminat miktarının düşük olduğu, olayda hatır taşımasının bulunmadığı, hakkaniyet indirimi oranının çok yüksek belirlendiği hususlarına ilişkindir.Dava, trafik kazası nedeniyle maddi ve manevi tazminat talebine ilişkin bulunmaktadır.6098 sayılı Türk Borçlar Kanunu’nun 56/1.",davalı Vekil cevap dilekçe tarih yaşamak kazanmak yol bulunmak çukur birikmek dolayı olmak yol kusur neden müvekkil sevk idare araç kontrol çıkmak kazmak netice müvekkil ağır yaralamak akraba kaybetmek kazmak sonra tutulmak tutanak kabul etmek belirtmek dava Redd karmak vermek talep Unk sigorta Vekil cevap dilekçe davacı maddî tazminat talep kabul etmek olmak Kaza sonra hasar dosya açmak davacı taraf ödemek yapmak müvekkil başka bir sorumluluk bulunmak belirtmek dava Redd karmak vermek talep Unk meydan gelen Kaza davalı tam kusur olmak davalı sigorta şirket tarafından ödemek yapmak davacı taraf maddî tazminat talep feragat etmek olay hatır taşımak olmak gözetmek davacı taraf Leh manevî tazminat hükmetmek gerekmek gerekçe dava kısmen kabul Unk Redd maddî tazminat talep yön davacı feragat nedeniyle dava Redd davacı manevî tazminat talep kısmen kabul davacı diğer davacı olmak üzere toplam manevî tazminat olay tarihî o tarih itibaren işlemek yasal faiz sigorta şirket dış davalı tan alınmak davacı vermek fazla ilişkin manevî tazminat talep Redd karmak vermek kararmak karşı davacı Vekil tarafından süre içinde istinaf yolunmak Unk Vekil istinaf sebep hükmetmek manevî tazminat miktar düşük olmak olay hatır taşımak bulunmak hakkaniyet indirim oran yüksek belirlemek husus Unk trafik kazmak nedeniyle maddî manevî tazminat talep ilişkin bulunmak sayılı Türk borç Kanun
"maddesine göre, hakimin olayın özelliklerini göz önünde tutarak manevi tazminat adı ile hak sahibi yararına takdir edeceği para tutarı adalete uygun olmalıdır.",madde göre Haki olay özellik göz ön tutmak manevî tazminat ad hak Sahib yarar takdir etmek par tutar adalet uygun olmak
"Hükmedilecek bu para, zarara uğrayanda manevi huzuru doğurmayı gerçekleştirecek tazminata benzer işlevi olan özgün bir nitelik taşır.",hükmetmek par zarar uğramak manevî huzur doğurmak gerçek tazminat benzer işlev o özgün bir nitelik taşımak
"Bir ceza olmadığı gibi, malvarlığı hukukuna ilişkin zararın karşılanması da amaç edinilmemiştir.",bir ceza olmak malvarlığı hukuk ilişkin zarar karşı amaç edinmek
"O halde, tazminatın sınırı onun amacına göre belirlenmelidir.Takdir edilecek miktar, mevcut halde elde edilmek istenilen tatmin duygusunun etkisine ulaşmak için gerektiği kadar olmalıdır.",hal tazminat sınır onmak amaç göre Unk etmek miktar mevcut hal el etmek istemek tatmin Duygu etki ulaşmak gerekmek kadar olmak
"22/06/1966 günlü ve 7/7 sayılı Yargıtay İçtihadı Birleştirme Kararı'nın gerekçesinde, takdir olunacak manevi tazminatın tutarını etkileyecek özel hal ve şartlar açıkça gösterilmiştir.",gün sayılı Yargıtay içtihat birleşmek karar gerekçe takdir Unk manevî tazminat tutar etkilemek özel hal şartlamak açık göstermek
"Bunlar, her olaya göre değişebileceğinden; hakim, bu konuda takdir hakkını kullanırken ona etkili olan nedenleri de karar yerinde objektif ölçülere göre isabetli bir biçimde göstermelidir.Dava konusu olayda, kazanın meydana geldiği tarih, kusur durumu, davacıların müteveffaya olan yakınlıkları, tarafların, dosyaya yansıyan ekonomik ve sosyal durumları, ile yukarıda açıklanan ilkeler göz önünde tutulduğunda; takdir edilen manevi tazminat miktarı azdır.",bu olay göre değişmek hâkim konu takdir Hak kullanmak onmak etki o neden karmak yerinde objektif ölçü göre İsabet bir biçim Unk konu olay kazanmak meydan gelmek tarih kusur durum davacı müteveffa o yakın taraf dosya yansımak ekonomik sosyal durum yukarı açık İlke göz ön tutulmak takdir etmek manevî tazminat miktar azmak
"Somut olayın özellikleri göz önünde bulundurularak davacı eş ... için 15.000,00-TL, her bir davacı çocuk için ayrı ayrı 7.500,00'er TL manevi tazminata hükmedilmesi uygun bulunmaktadır.",somut olay özellik göz ön bulundurmak davacı bir davacı çocuk ayrı ayrı manevî tazminat hükmetmek uygun bulunmak
"Bu nedenle davacı tarafın istinaf talebinin kabulü ile, vekâlet ücretine ilişkin usuli kazanılmış haklar da gözetilerek, 6100 Sayılı HMK 353/1-b/2 maddesi gereğince davacı lehine daha yüksek bir tazminata hükmedilmesi, Mahkemece verilen kararın düzeltilerek yeniden hüküm kurulması gerektiği kanaatine varılmıştır.",neden davacı taraf istinaf talep kabul Unk ücret ilişkin Usuli kazanmak haklamak gözetmek sayılı Unk madde gereğince davacı Leh yüksek bir tazminat hükmetmek mahkeme vermek kararmak düzeltmek yeniden hüküm kurmak gerekmek kanaat varmak
